Brand,Year,Mileage,Price
Audi,2019,7568,5206
BMW,2016,125151,28419
Mercedes,2007,198664,55636
Audi,2009,203635,55015
Ford,2011,138767,59268
Chevrolet,2013,129375,23141
Mercedes,2011,184262,76910
Mercedes,2022,141330,61044
Audi,2008,223610,72214
Honda,2018,44504,38827
Ford,2022,169231,60820
Audi,2013,18986,67623
Ford,2006,66858,27299
Ford,2019,134312,48585
Chevrolet,2011,17666,69044
Mercedes,2016,43660,47557
BMW,2012,139633,54080
Chevrolet,2019,31854,7693
Chevrolet,2007,69505,74163
Ford,2018,109488,30939
Lexus,2021,188323,53925
Mercedes,2008,27662,47941
Honda,2022,13392,26834
Chevrolet,2012,35535,23047
BMW,2008,214675,31105
Lexus,2006,118569,20707
Lexus,2010,57256,26976
Honda,2014,94135,49262
Chevrolet,2008,132478,28776
BMW,2022,40222,35080
Mercedes,2016,82373,71842
Toyota,2006,215647,66373
BMW,2014,128684,11776
Honda,2008,232426,60016
Lexus,2018,220723,14474
Mercedes,2020,199407,63053
BMW,2019,15965,26959
Toyota,2012,29538,10530
Toyota,2018,113066,8748
Ford,2012,206664,18545
Ford,2020,234090,71199
Audi,2017,118252,39766
Honda,2022,144182,78530
Chevrolet,2019,215381,66087
BMW,2017,163338,73840
BMW,2013,189064,59384
Chevrolet,2019,219020,56005
Audi,2017,103806,51576
Lexus,2005,142982,44353
Lexus,2011,115989,67003
